Algorithm,Metric,k,Value
random,Pop@k,17,35.41223268478076
random,Pop@k,18,35.42963141540769
random,Pop@k,19,35.43172359539157
random,Pop@k,20,35.4340043394407
lyrics,Precision@k,1,0.5706364513018322
lyrics,Precision@k,2,0.5606316297010607
lyrics,Precision@k,3,0.5609128897460636
lyrics,Precision@k,4,0.5588235294117647
lyrics,Precision@k,5,0.5565573770491776
lyrics,Precision@k,6,0.5547653487624555
lyrics,Precision@k,7,0.5535197685631653
lyrics,Precision@k,8,0.553369093539055
lyrics,Precision@k,9,0.5521000750026848
lyrics,Precision@k,10,0.5510607521697194
lyrics,Precision@k,11,0.5501884807574317
lyrics,Precision@k,12,0.5496624879459995
lyrics,Precision@k,13,0.548586900081591
lyrics,Precision@k,14,0.5481815677090522
lyrics,Precision@k,15,0.5478302796528413
lyrics,Precision@k,16,0.5469654050144648
lyrics,Precision@k,17,0.5469255204492598
lyrics,Precision@k,18,0.5466222007928849
lyrics,Precision@k,19,0.546160483175154
lyrics,Precision@k,20,0.5453712632594023
lyrics,Recall@k,1,0.0005047701365841227
lyrics,Recall@k,2,0.0009994031940198077
lyrics,Recall@k,3,0.0014819889572020132
lyrics,Recall@k,4,0.001989971465525436
lyrics,Recall@k,5,0.002476794894271083
lyrics,Recall@k,6,0.0029224711944651548
lyrics,Recall@k,7,0.0033852747887978952
lyrics,Recall@k,8,0.0038691555330873702
lyrics,Recall@k,9,0.004296433317970303
lyrics,Recall@k,10,0.0046928282695856876
lyrics,Recall@k,11,0.005176600110563001
lyrics,Recall@k,12,0.005595437220210616
lyrics,Recall@k,13,0.006018971284013973
lyrics,Recall@k,14,0.006419971555505788
lyrics,Recall@k,15,0.006843084047216918
lyrics,Recall@k,16,0.0072126852224847
lyrics,Recall@k,17,0.00763149582755607
lyrics,Recall@k,18,0.008025054265976097
lyrics,Recall@k,19,0.008407016565514104
lyrics,Recall@k,20,0.008804551213084807
lyrics,MRR@k,1,0.5706364513018322
lyrics,MRR@k,2,0.6535679845708775
lyrics,MRR@k,3,0.6770331083252995
lyrics,MRR@k,4,0.6873392799742871
lyrics,MRR@k,5,0.6916787206685974
lyrics,MRR@k,6,0.6941297010607538
lyrics,MRR@k,7,0.6958517013362747
lyrics,MRR@k,8,0.6969666965146739
lyrics,MRR@k,9,0.6977435099722976
lyrics,MRR@k,10,0.6985149660957302
lyrics,MRR@k,11,0.6988656279700176
lyrics,MRR@k,12,0.6992473380310913
lyrics,MRR@k,13,0.699544051924719
lyrics,MRR@k,14,0.6997679119605368
lyrics,MRR@k,15,0.700057208006824
lyrics,MRR@k,16,0.7002530855381645
lyrics,MRR@k,17,0.7004090785042997
lyrics,MRR@k,18,0.7005162251881099
lyrics,MRR@k,19,0.7006050441496892
lyrics,MRR@k,20,0.7007014761651185
lyrics,nDCG@k,1,0.5706364513018322
lyrics,nDCG@k,2,0.5628956646575524
lyrics,nDCG@k,3,0.5625624169709269
lyrics,nDCG@k,4,0.5608799700010455
lyrics,nDCG@k,5,0.5591235010721952
lyrics,nDCG@k,6,0.5576879334498877
lyrics,nDCG@k,7,0.5566264283079517
lyrics,nDCG@k,8,0.5562918058911128
lyrics,nDCG@k,9,0.5552852790425817
lyrics,nDCG@k,10,0.5544289481447355
lyrics,nDCG@k,11,0.5536958185947394
lyrics,nDCG@k,12,0.5531831626365132
lyrics,nDCG@k,13,0.5523324823300626
lyrics,nDCG@k,14,0.5519099939679045
lyrics,nDCG@k,15,0.5515329607600383
lyrics,nDCG@k,16,0.550836487075396
lyrics,nDCG@k,17,0.5506705458161315
lyrics,nDCG@k,18,0.5503469463378338
lyrics,nDCG@k,19,0.5499278623399135
lyrics,nDCG@k,20,0.5493007025201497
lyrics,Coverage@k,1,0.4038090646094503
lyrics,Coverage@k,2,0.5467695274831244
lyrics,Coverage@k,3,0.636933461909354
lyrics,Coverage@k,4,0.6926229508196722
lyrics,Coverage@k,5,0.7336065573770492
lyrics,Coverage@k,6,0.7656702025072324
lyrics,Coverage@k,7,0.7902603664416586
lyrics,Coverage@k,8,0.8085824493731919
lyrics,Coverage@k,9,0.8223240115718419
lyrics,Coverage@k,10,0.8326904532304725
lyrics,Coverage@k,11,0.8461909353905497
lyrics,Coverage@k,12,0.8572806171648988
lyrics,Coverage@k,13,0.8666827386692382
lyrics,Coverage@k,14,0.874397299903568
lyrics,Coverage@k,15,0.883076181292189
lyrics,Coverage@k,16,0.8895853423336548
lyrics,Coverage@k,17,0.8953712632594021
lyrics,Coverage@k,18,0.9011571841851495
lyrics,Coverage@k,19,0.9069431051108968
lyrics,Coverage@k,20,0.9110414657666345
lyrics,Pop@k,1,37.65115718418515
lyrics,Pop@k,2,37.87512054001929
lyrics,Pop@k,3,37.77700096432015
lyrics,Pop@k,4,37.81322324011572
lyrics,Pop@k,5,37.790405014464795
lyrics,Pop@k,6,37.768040822886526
lyrics,Pop@k,7,37.77180052348809
lyrics,Pop@k,8,37.771486258437804
lyrics,Pop@k,9,37.78584056573449
lyrics,Pop@k,10,37.77528929604628
lyrics,Pop@k,11,37.77533532041729
lyrics,Pop@k,12,37.78061716489874
lyrics,Pop@k,13,37.74512276537349
lyrics,Pop@k,14,37.73265945722551
lyrics,Pop@k,15,37.7420443587271
lyrics,Pop@k,16,37.72742888138862
lyrics,Pop@k,17,37.70386862556016
lyrics,Pop@k,18,37.681439515696994
lyrics,Pop@k,19,37.64845455006852
lyrics,Pop@k,20,37.637668756027
audio,Precision@k,1,0.5969141755062681
audio,Precision@k,2,0.5844985535197685
audio,Precision@k,3,0.5842172934747657
audio,Precision@k,4,0.5831726133076182
audio,Precision@k,5,0.5787849566055899
audio,Precision@k,6,0.5777884924461584
audio,Precision@k,7,0.5761468521834994
audio,Precision@k,8,0.5741019768563163
audio,Precision@k,9,0.5736633451194725
audio,Precision@k,10,0.5734329797492778
audio,Precision@k,11,0.5716446041904132
audio,Precision@k,12,0.5701342012214727
audio,Precision@k,13,0.5694495957273137
audio,Precision@k,14,0.5689488910318223
audio,Precision@k,15,0.567855994856956
audio,Precision@k,16,0.5678188283510125
audio,Precision@k,17,0.5671053377956817
audio,Precision@k,18,0.5663639772849048
audio,Precision@k,19,0.5654722631071454
audio,Precision@k,20,0.5645732883317259
audio,Recall@k,1,0.0005555429470695058
audio,Recall@k,2,0.0009757639662397891
audio,Recall@k,3,0.001378457880757766
audio,Recall@k,4,0.0017792375000483477
audio,Recall@k,5,0.0024385589014858694
audio,Recall@k,6,0.002874954923703344
audio,Recall@k,7,0.003317569966801507
audio,Recall@k,8,0.0037084759820523567
audio,Recall@k,9,0.00410149982355987
audio,Recall@k,10,0.004485647109354099
audio,Recall@k,11,0.004853427551219412
audio,Recall@k,12,0.005236644676402449
audio,Recall@k,13,0.005630644275908339
audio,Recall@k,14,0.005998651007231283
audio,Recall@k,15,0.006373785293282156
audio,Recall@k,16,0.006755126160500149
audio,Recall@k,17,0.007143402029896354
audio,Recall@k,18,0.007505904532895269
audio,Recall@k,19,0.007924503244235978
audio,Recall@k,20,0.008277726271053021
audio,MRR@k,1,0.5969141755062681
audio,MRR@k,2,0.6727338476374156
audio,MRR@k,3,0.6945114111218272
audio,MRR@k,4,0.7037327225972371
audio,MRR@k,5,0.7075417872066873
audio,MRR@k,6,0.7108767277402771
audio,MRR@k,7,0.7127709280433496
audio,MRR@k,8,0.7137352481976409
audio,MRR@k,9,0.7147799283647901
audio,MRR@k,10,0.7152620884419355
audio,MRR@k,11,0.7156346666833658
audio,MRR@k,12,0.7159159267283677
audio,MRR@k,13,0.7161384621485887
audio,MRR@k,14,0.7163623221844062
audio,MRR@k,15,0.7165551862152643
audio,MRR@k,16,0.7168113337562481
audio,MRR@k,17,0.7169815079011228
audio,MRR@k,18,0.717088654584933
audio,MRR@k,19,0.7172536040850092
audio,MRR@k,20,0.7173138740946525
audio,nDCG@k,1,0.5969141755062681
audio,nDCG@k,2,0.5873081390681869
audio,nDCG@k,3,0.5864509156713825
audio,nDCG@k,4,0.5853728242637276
audio,nDCG@k,5,0.5822673627908008
audio,nDCG@k,6,0.5812698245062689
audio,nDCG@k,7,0.5799220347797803
audio,nDCG@k,8,0.5783427257140593
audio,nDCG@k,9,0.5777875445816614
audio,nDCG@k,10,0.5774003571850439
audio,nDCG@k,11,0.5760527832466681
audio,nDCG@k,12,0.5748752519026912
audio,nDCG@k,13,0.5742230196113928
audio,nDCG@k,14,0.5737011321087897
audio,nDCG@k,15,0.5728159171743288
audio,nDCG@k,16,0.5726090454245779
audio,nDCG@k,17,0.5719899510664557
audio,nDCG@k,18,0.571352951413555
audio,nDCG@k,19,0.5706295205718022
audio,nDCG@k,20,0.5698954210771685
audio,Coverage@k,1,0.48987463837994216
audio,Coverage@k,2,0.6518804243008679
audio,Coverage@k,3,0.7427675988428158
audio,Coverage@k,4,0.7905014464802315
audio,Coverage@k,5,0.8281099324975892
audio,Coverage@k,6,0.8539054966248795
audio,Coverage@k,7,0.8739151398264223
audio,Coverage@k,8,0.8912729026036644
audio,Coverage@k,9,0.9052555448408872
audio,Coverage@k,10,0.916586306653809
audio,Coverage@k,11,0.9274349083895853
audio,Coverage@k,12,0.9349083895853423
audio,Coverage@k,13,0.9428640308582449
audio,Coverage@k,14,0.9481677917068466
audio,Coverage@k,15,0.9525072324011572
audio,Coverage@k,16,0.956364513018322
audio,Coverage@k,17,0.9607039537126326
audio,Coverage@k,18,0.9633558341369335
audio,Coverage@k,19,0.96648987463838
audio,Coverage@k,20,0.968900675024108
audio,Pop@k,1,36.86620057859209
audio,Pop@k,2,36.70841369334619
audio,Pop@k,3,36.73682095789135
audio,Pop@k,4,36.75132594021215
audio,Pop@k,5,36.76475409836066
audio,Pop@k,6,36.80966730954677
audio,Pop@k,7,36.81698581071773
audio,Pop@k,8,36.826000482160076
audio,Pop@k,9,36.80285010178934
audio,Pop@k,10,36.82562680810029
audio,Pop@k,11,36.8702331901464
audio,Pop@k,12,36.891815332690456
audio,Pop@k,13,36.897911875973584
audio,Pop@k,14,36.91495040639206
audio,Pop@k,15,36.910784313725486
audio,Pop@k,16,36.90267900192864
audio,Pop@k,17,36.92540699982982
audio,Pop@k,18,36.89938926390228
audio,Pop@k,19,36.90670202507233
audio,Pop@k,20,36.91739392478303
video,Precision@k,1,0.5527965284474445
video,Precision@k,2,0.5318225650916104
video,Precision@k,3,0.5204114432658329
video,Precision@k,4,0.5133799421407907
video,Precision@k,5,0.5092574734811931
video,Precision@k,6,0.5079154612664741
video,Precision@k,7,0.5052004408320738
video,Precision@k,8,0.5037668756027001
video,Precision@k,9,0.5020357869923954
video,Precision@k,10,0.5013500482160075
video,Precision@k,11,0.49993425089857196
video,Precision@k,12,0.4985535197685634
video,Precision@k,13,0.4981269935464683
video,Precision@k,14,0.49758919961427434
video,Precision@k,15,0.49660880745740765
video,Precision@k,16,0.4954948167791707
video,Precision@k,17,0.49429916614668995
video,Precision@k,18,0.4944417657773515
video,Precision@k,19,0.4937319189971075
video,Precision@k,20,0.49367164898746296
video,Recall@k,1,0.0004908331752628744
video,Recall@k,2,0.0008787944793974216
video,Recall@k,3,0.001209370309808629
video,Recall@k,4,0.0015232504091877595
video,Recall@k,5,0.001822668268421865
video,Recall@k,6,0.002119842259514239
video,Recall@k,7,0.002417406042629945
video,Recall@k,8,0.0027075374376390035
video,Recall@k,9,0.003022457822001823
video,Recall@k,10,0.0035711381692371466
video,Recall@k,11,0.003853390698238929
video,Recall@k,12,0.0041509180816928885
video,Recall@k,13,0.004458112902667175
video,Recall@k,14,0.004746906990405408
video,Recall@k,15,0.005018670913524131
video,Recall@k,16,0.005298299941956515
video,Recall@k,17,0.00557187707588563
video,Recall@k,18,0.005892846224333154
video,Recall@k,19,0.006183902889873815
video,Recall@k,20,0.006469957291615555
video,MRR@k,1,0.5527965284474445
video,MRR@k,2,0.6307859209257474
video,MRR@k,3,0.6562600450016084
video,MRR@k,4,0.6650594664095159
video,MRR@k,5,0.6700257152041149
video,MRR@k,6,0.6733204757312767
video,MRR@k,7,0.6754901960784327
video,MRR@k,8,0.6766955962712968
video,MRR@k,9,0.6780617164898766
video,MRR@k,10,0.6787608486017376
video,MRR@k,11,0.6791991759445968
video,MRR@k,12,0.6795407059992417
video,MRR@k,13,0.6798745091295729
video,MRR@k,14,0.6802016891819217
video,MRR@k,15,0.6804427692204945
video,MRR@k,16,0.6806537142542459
video,MRR@k,17,0.6807388013266832
video,MRR@k,18,0.6809664880297799
video,MRR@k,19,0.6811187491067732
video,MRR@k,20,0.6812754511318456
video,nDCG@k,1,0.5527965284474445
video,nDCG@k,2,0.536568855241366
video,nDCG@k,3,0.527422693674623
video,nDCG@k,4,0.5215151535754488
video,nDCG@k,5,0.5177433284284662
video,nDCG@k,6,0.5159607191263654
video,nDCG@k,7,0.5134822141252147
video,nDCG@k,8,0.5119201601651645
video,nDCG@k,9,0.5102532437565015
video,nDCG@k,10,0.5093596122474014
video,nDCG@k,11,0.5080096214367288
video,nDCG@k,12,0.5067148683829682
video,nDCG@k,13,0.5060546308652651
video,nDCG@k,14,0.5053607124282576
video,nDCG@k,15,0.5044124082551027
video,nDCG@k,16,0.5033959138823825
video,nDCG@k,17,0.5023389308528442
video,nDCG@k,18,0.5021529684072072
video,nDCG@k,19,0.5014423142563637
video,nDCG@k,20,0.5011628567170866
video,Coverage@k,1,0.4910800385728062
video,Coverage@k,2,0.6395853423336548
video,Coverage@k,3,0.7070877531340405
video,Coverage@k,4,0.759884281581485
video,Coverage@k,5,0.7950819672131147
video,Coverage@k,6,0.8191899710703954
video,Coverage@k,7,0.8387174541947927
video,Coverage@k,8,0.8522179363548699
video,Coverage@k,9,0.8657184185149469
video,Coverage@k,10,0.8763259402121505
video,Coverage@k,11,0.8845226615236258
video,Coverage@k,12,0.8895853423336548
video,Coverage@k,13,0.8963355834136933
video,Coverage@k,14,0.8999517839922855
video,Coverage@k,15,0.904291224686596
video,Coverage@k,16,0.909112825458052
video,Coverage@k,17,0.9120057859209257
video,Coverage@k,18,0.9158630665380907
video,Coverage@k,19,0.9199614271938283
video,Coverage@k,20,0.9230954676952748
video,Pop@k,1,36.25916104146577
video,Pop@k,2,36.47239633558341
video,Pop@k,3,36.55978784956606
video,Pop@k,4,36.583835583413695
video,Pop@k,5,36.59498553519769
video,Pop@k,6,36.54210864673739
video,Pop@k,7,36.64020526243284
video,Pop@k,8,36.68623432979749
video,Pop@k,9,36.66658630665381
video,Pop@k,10,36.70578592092574
video,Pop@k,11,36.70439203997546
video,Pop@k,12,36.73250160720026
video,Pop@k,13,36.759865736963135
video,Pop@k,14,36.778636864581905
video,Pop@k,15,36.817936354869815
video,Pop@k,16,36.83513138862102
video,Pop@k,17,36.87641102728459
video,Pop@k,18,36.90307243115826
video,Pop@k,19,36.93195198700706
video,Pop@k,20,36.94710703953712
early_fusion,Precision@k,1,0.6576663452266153
early_fusion,Precision@k,2,0.6456123432979749
early_fusion,Precision@k,3,0.6358084217293468
early_fusion,Precision@k,4,0.6323529411764706
early_fusion,Precision@k,5,0.6289778206364511
early_fusion,Precision@k,6,0.6250803600128562
early_fusion,Precision@k,7,0.6225030996004957
early_fusion,Precision@k,8,0.6209016393442623
early_fusion,Precision@k,9,0.6194417657773512
early_fusion,Precision@k,10,0.6177193828351065
early_fusion,Precision@k,11,0.6162882440606693
early_fusion,Precision@k,12,0.6142116682738666
early_fusion,Precision@k,13,0.6129367257621791
early_fusion,Precision@k,14,0.6115683978509425
early_fusion,Precision@k,15,0.6099485695917648
early_fusion,Precision@k,16,0.6093147299903569
early_fusion,Precision@k,17,0.6085143797152508
early_fusion,Precision@k,18,0.6074949105325183
early_fusion,Precision@k,19,0.606481246510688
early_fusion,Precision@k,20,0.6056653809064605
early_fusion,Recall@k,1,0.0006748366040511866
early_fusion,Recall@k,2,0.0012162565065678382
early_fusion,Recall@k,3,0.0017458236017090223
early_fusion,Recall@k,4,0.0022783377667063617
early_fusion,Recall@k,5,0.002860458654326182
early_fusion,Recall@k,6,0.0033295575623636378
early_fusion,Recall@k,7,0.0037848165699906748
early_fusion,Recall@k,8,0.004293746838374696
early_fusion,Recall@k,9,0.004743156716932302
early_fusion,Recall@k,10,0.005193798735632018
early_fusion,Recall@k,11,0.005662133855016092
early_fusion,Recall@k,12,0.006163920393014998
early_fusion,Recall@k,13,0.006606626188073601
early_fusion,Recall@k,14,0.0070306890406916685
early_fusion,Recall@k,15,0.0074553253697618865
early_fusion,Recall@k,16,0.007883615843155507
early_fusion,Recall@k,17,0.008310592227165518
early_fusion,Recall@k,18,0.008747077065755664
early_fusion,Recall@k,19,0.009170238001308954
early_fusion,Recall@k,20,0.009603701398275809
early_fusion,MRR@k,1,0.6576663452266153
early_fusion,MRR@k,2,0.7287849566055931
early_fusion,MRR@k,3,0.7470266795242705
early_fusion,MRR@k,4,0.7546207007393139
early_fusion,MRR@k,5,0.7585261973641928
early_fusion,MRR@k,6,0.759811957569914
early_fusion,MRR@k,7,0.7614650778344138
early_fusion,MRR@k,8,0.762429397988705
early_fusion,MRR@k,9,0.762965131407756
early_fusion,MRR@k,10,0.7633026434617576
early_fusion,MRR@k,11,0.7636752217031881
early_fusion,MRR@k,12,0.7639564817481898
early_fusion,MRR@k,13,0.764141927931707
early_fusion,MRR@k,14,0.764228027945483
early_fusion,MRR@k,15,0.7643405319634835
early_fusion,MRR@k,16,0.7644761394851808
early_fusion,MRR@k,17,0.7645612265576183
early_fusion,MRR@k,18,0.7646951599123809
early_fusion,MRR@k,19,0.7648474209893745
early_fusion,MRR@k,20,0.7649197450009464
early_fusion,nDCG@k,1,0.6576663452266153
early_fusion,nDCG@k,2,0.6483400962576065
early_fusion,nDCG@k,3,0.6407989003050762
early_fusion,nDCG@k,4,0.6376360177093736
early_fusion,nDCG@k,5,0.6347286864830438
early_fusion,nDCG@k,6,0.6315950005445476
early_fusion,nDCG@k,7,0.629350891693888
early_fusion,nDCG@k,8,0.6278017419143296
early_fusion,nDCG@k,9,0.6264012219345458
early_fusion,nDCG@k,10,0.6248782646669871
early_fusion,nDCG@k,11,0.6235723279463652
early_fusion,nDCG@k,12,0.6218868250444987
early_fusion,nDCG@k,13,0.6207115557900287
early_fusion,nDCG@k,14,0.6194961339480759
early_fusion,nDCG@k,15,0.6181338475624945
early_fusion,nDCG@k,16,0.6174109987980849
early_fusion,nDCG@k,17,0.616601658567349
early_fusion,nDCG@k,18,0.6156662102738515
early_fusion,nDCG@k,19,0.6147442736887755
early_fusion,nDCG@k,20,0.6139586305055381
early_fusion,Coverage@k,1,0.3789778206364513
early_fusion,Coverage@k,2,0.49397299903567987
early_fusion,Coverage@k,3,0.56099324975892
early_fusion,Coverage@k,4,0.6089681774349084
early_fusion,Coverage@k,5,0.6419961427193829
early_fusion,Coverage@k,6,0.6682738669238187
early_fusion,Coverage@k,7,0.6909353905496625
early_fusion,Coverage@k,8,0.7061234329797492
early_fusion,Coverage@k,9,0.7227579556412729
early_fusion,Coverage@k,10,0.7352941176470589
early_fusion,Coverage@k,11,0.7473481195756991
early_fusion,Coverage@k,12,0.7579556412729026
early_fusion,Coverage@k,13,0.7700096432015429
early_fusion,Coverage@k,14,0.7757955641272902
early_fusion,Coverage@k,15,0.7837512054001928
early_fusion,Coverage@k,16,0.7895371263259402
early_fusion,Coverage@k,17,0.7967695274831244
early_fusion,Coverage@k,18,0.8025554484088717
early_fusion,Coverage@k,19,0.8078592092574735
early_fusion,Coverage@k,20,0.8119575699132112
early_fusion,Pop@k,1,39.18683702989392
early_fusion,Pop@k,2,39.83678881388621
early_fusion,Pop@k,3,39.840565734490525
early_fusion,Pop@k,4,39.8904893924783
early_fusion,Pop@k,5,39.995949855351974
early_fusion,Pop@k,6,39.99975891996143
early_fusion,Pop@k,7,40.00378840060615
early_fusion,Pop@k,8,40.00455038572806
early_fusion,Pop@k,9,39.98462445087325
early_fusion,Pop@k,10,39.99021215043394
early_fusion,Pop@k,11,40.023340931007276
early_fusion,Pop@k,12,40.02655898424944
early_fusion,Pop@k,13,40.062384096135304
early_fusion,Pop@k,14,40.041655186664826
early_fusion,Pop@k,15,40.048280295724844
early_fusion,Pop@k,16,40.06952145612343
early_fusion,Pop@k,17,40.07724488059448
early_fusion,Pop@k,18,40.107401157184185
early_fusion,Pop@k,19,40.08994823123383
early_fusion,Pop@k,20,40.08060511089682
late_fusion,Precision@k,1,0.654291224686596
late_fusion,Precision@k,2,0.6363307618129219
late_fusion,Precision@k,3,0.6272099003535826
late_fusion,Precision@k,4,0.6229508196721312
late_fusion,Precision@k,5,0.6228061716489868
late_fusion,Precision@k,6,0.6198569591771133
late_fusion,Precision@k,7,0.6170960187353632
late_fusion,Precision@k,8,0.6148746383799422
late_fusion,Precision@k,9,0.6119414979106418
late_fusion,Precision@k,10,0.6094503375120591
late_fusion,Precision@k,11,0.6086394319277678
late_fusion,Precision@k,12,0.6084860173577626
late_fusion,Precision@k,13,0.6068726355611568
late_fusion,Precision@k,14,0.6061613169858102
late_fusion,Precision@k,15,0.6047251687560229
late_fusion,Precision@k,16,0.6031219864995179
late_fusion,Precision@k,17,0.6026717340745424
late_fusion,Precision@k,18,0.6015616629165313
late_fusion,Precision@k,19,0.6006699487387757
late_fusion,Precision@k,20,0.5996504339440699
late_fusion,Recall@k,1,0.0006676850304789206
late_fusion,Recall@k,2,0.0011879347120564141
late_fusion,Recall@k,3,0.0017194133681902538
late_fusion,Recall@k,4,0.002204028631855552
late_fusion,Recall@k,5,0.0026930323055460678
late_fusion,Recall@k,6,0.0032025707117870257
late_fusion,Recall@k,7,0.003714785794578932
late_fusion,Recall@k,8,0.00420317788072025
late_fusion,Recall@k,9,0.004645037433070625
late_fusion,Recall@k,10,0.0050720374175900465
late_fusion,Recall@k,11,0.005573838762593615
late_fusion,Recall@k,12,0.0060147689242351305
late_fusion,Recall@k,13,0.006470183847124038
late_fusion,Recall@k,14,0.006920393209977108
late_fusion,Recall@k,15,0.007365567242538636
late_fusion,Recall@k,16,0.007789716708742198
late_fusion,Recall@k,17,0.008243547245645945
late_fusion,Recall@k,18,0.008653556093469588
late_fusion,Recall@k,19,0.009081735337184151
late_fusion,Recall@k,20,0.009504682044169913
late_fusion,MRR@k,1,0.654291224686596
late_fusion,MRR@k,2,0.7250482160077145
late_fusion,MRR@k,3,0.7426470588235313
late_fusion,MRR@k,4,0.7506629701060771
late_fusion,MRR@k,5,0.7549541947926723
late_fusion,MRR@k,6,0.7569631951141119
late_fusion,MRR@k,7,0.7584441153510597
late_fusion,MRR@k,8,0.7591974904715997
late_fusion,MRR@k,9,0.759760010561603
late_fusion,MRR@k,10,0.7600975226156048
late_fusion,MRR@k,11,0.7605358499584642
late_fusion,MRR@k,12,0.7608572900098947
late_fusion,MRR@k,13,0.7610241915750603
late_fusion,MRR@k,14,0.7611275115915915
late_fusion,MRR@k,15,0.7612239436070205
late_fusion,MRR@k,16,0.7613896861335393
late_fusion,MRR@k,17,0.7615173167421954
late_fusion,MRR@k,18,0.7615441034131479
late_fusion,MRR@k,19,0.7616709876439759
late_fusion,MRR@k,20,0.7617553656574765
late_fusion,nDCG@k,1,0.654291224686596
late_fusion,nDCG@k,2,0.6403951137227721
late_fusion,nDCG@k,3,0.6330211174107881
late_fusion,nDCG@k,4,0.6291798168372131
late_fusion,nDCG@k,5,0.628267648005909
late_fusion,nDCG@k,6,0.625771601373794
late_fusion,nDCG@k,7,0.6234640287447109
